account_id,english_name,dealer_code,year,month,monthly_value,yearly_value
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,1,3.59,3.59
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,2,0.2,3.79
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,3,0.01,3.78
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,4,0.08,3.7
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,5,0.19,3.89
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,6,0.23,3.66
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,7,0.05,3.71
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,8,0.89,2.82
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,9,0.62,3.44
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,10,0.23,3.21
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,11,0.28,3.49
6063DZ, NV Months Supply (Guide 2.5 months),80475,2024,12,0.9,4.39
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,1,6.33,6.33
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,2,2.34,8.67
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,3,0.34,8.33
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,4,7.17,15.5
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,5,6,9.5
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,6,1.5,8
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,7,3,11
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,8,4.5,15.5
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,9,2,13.5
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,10,0.5,13
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,11,0,13
6076DZ, UV Units Sold Per UV Sales Rep.,80475,2024,12,4.5,8.5
50001SDY,# of Productive Bays,80475,2024,1,4,4
50001SD,# of Productive Bays,80475,2024,1,4,4
50001SDY,# of Productive Bays,80475,2024,2,8,12
50001SD,# of Productive Bays,80475,2024,2,4,8
50001SDY,# of Productive Bays,80475,2024,3,12,24
50001SD,# of Productive Bays,80475,2024,3,4,12
50001SDY,# of Productive Bays,80475,2024,4,16,40
50001SD,# of Productive Bays,80475,2024,4,4,16
50001SDY,# of Productive Bays,80475,2024,5,20,60
50001SD,# of Productive Bays,80475,2024,5,4,20
50001SDY,# of Productive Bays,80475,2024,6,24,84
50001SD,# of Productive Bays,80475,2024,6,4,24
50001SDY,# of Productive Bays,80475,2024,7,28,112
50001SD,# of Productive Bays,80475,2024,7,4,28
50001SD,# of Productive Bays,80475,2024,8,4,32
50001SDY,# of Productive Bays,80475,2024,8,32,144
50001SDY,# of Productive Bays,80475,2024,9,36,180
50001SD,# of Productive Bays,80475,2024,9,4,36
50001SDY,# of Productive Bays,80475,2024,10,40,220
50001SD,# of Productive Bays,80475,2024,10,4,40
50001SDY,# of Productive Bays,80475,2024,11,44,264
50001SD,# of Productive Bays,80475,2024,11,4,44
50001SDY,# of Productive Bays,80475,2024,12,48,312
50001SD,# of Productive Bays,80475,2024,12,4,48
50008SD,# of Working Days ,80475,2024,1,22,22
50008SD,# of Working Days ,80475,2024,2,20,42
50008SD,# of Working Days ,80475,2024,3,20,62
50008SD,# of Working Days ,80475,2024,4,21,83
50008SD,# of Working Days ,80475,2024,5,22,105
50008SD,# of Working Days ,80475,2024,6,20,125
50008SD,# of Working Days ,80475,2024,7,22,147
50008SD,# of Working Days ,80475,2024,8,21,168
50008SD,# of Working Days ,80475,2024,9,20,188
50008SD,# of Working Days ,80475,2024,10,22,210
50008SD,# of Working Days ,80475,2024,11,21,231
50008SD,# of Working Days ,80475,2024,12,20,251
6026DZ,% Return on Operating Investment,80475,2024,1,1.04,1.04
6026DZ,% Return on Operating Investment,80475,2024,2,0.04,1.08
6026DZ,% Return on Operating Investment,80475,2024,3,0.43,1.51
6026DZ,% Return on Operating Investment,80475,2024,4,0.73,2.24
6026DZ,% Return on Operating Investment,80475,2024,5,1.81,4.05
6026DZ,% Return on Operating Investment,80475,2024,6,2.6,1.45
6026DZ,% Return on Operating Investment,80475,2024,7,1.29,2.74
6026DZ,% Return on Operating Investment,80475,2024,8,3.8,6.54
6026DZ,% Return on Operating Investment,80475,2024,9,0.53,7.07
